LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,Flag Codes,DATE_CORRECTED
AUS,ALCOHOL,TOT,LT_CAP15,A,1960,9.3,,1/1/1960
AUS,ALCOHOL,TOT,LT_CAP15,A,1961,9.4,,1/1/1961
AUS,ALCOHOL,TOT,LT_CAP15,A,1962,9.5,,1/1/1962
AUS,ALCOHOL,TOT,LT_CAP15,A,1963,9.8,,1/1/1963
AUS,ALCOHOL,TOT,LT_CAP15,A,1964,10.1,,1/1/1964
AUS,ALCOHOL,TOT,LT_CAP15,A,1965,10,,1/1/1965
AUS,ALCOHOL,TOT,LT_CAP15,A,1966,10.3,,1/1/1966
AUS,ALCOHOL,TOT,LT_CAP15,A,1967,10.8,,1/1/1967
AUS,ALCOHOL,TOT,LT_CAP15,A,1968,11.1,,1/1/1968
AUS,ALCOHOL,TOT,LT_CAP15,A,1969,11.6,,1/1/1969
AUS,ALCOHOL,TOT,LT_CAP15,A,1970,11.6,,1/1/1970
AUS,ALCOHOL,TOT,LT_CAP15,A,1971,11.6,,1/1/1971
AUS,ALCOHOL,TOT,LT_CAP15,A,1972,12.2,,1/1/1972
AUS,ALCOHOL,TOT,LT_CAP15,A,1973,12.9,,1/1/1973
AUS,ALCOHOL,TOT,LT_CAP15,A,1974,13.1,,1/1/1974
AUS,ALCOHOL,TOT,LT_CAP15,A,1975,12.9,,1/1/1975
AUS,ALCOHOL,TOT,LT_CAP15,A,1976,13.1,,1/1/1976
AUS,ALCOHOL,TOT,LT_CAP15,A,1977,13,,1/1/1977
AUS,ALCOHOL,TOT,LT_CAP15,A,1978,12.7,,1/1/1978
AUS,ALCOHOL,TOT,LT_CAP15,A,1979,12.7,,1/1/1979
AUS,ALCOHOL,TOT,LT_CAP15,A,1980,12.7,,1/1/1980
AUS,ALCOHOL,TOT,LT_CAP15,A,1981,12.8,,1/1/1981
AUS,ALCOHOL,TOT,LT_CAP15,A,1982,12.4,,1/1/1982
AUS,ALCOHOL,TOT,LT_CAP15,A,1983,12.2,,1/1/1983
AUS,ALCOHOL,TOT,LT_CAP15,A,1984,11.7,,1/1/1984
AUS,ALCOHOL,TOT,LT_CAP15,A,1985,11.8,,1/1/1985
AUS,ALCOHOL,TOT,LT_CAP15,A,1986,11.3,,1/1/1986
AUS,ALCOHOL,TOT,LT_CAP15,A,1987,11.4,,1/1/1987
AUS,ALCOHOL,TOT,LT_CAP15,A,1988,11.3,,1/1/1988
AUS,ALCOHOL,TOT,LT_CAP15,A,1989,11,,1/1/1989
AUS,ALCOHOL,TOT,LT_CAP15,A,1990,10.6,,1/1/1990
AUS,ALCOHOL,TOT,LT_CAP15,A,1991,10.1,,1/1/1991
AUS,ALCOHOL,TOT,LT_CAP15,A,1992,9.9,,1/1/1992
AUS,ALCOHOL,TOT,LT_CAP15,A,1993,10.2,,1/1/1993
AUS,ALCOHOL,TOT,LT_CAP15,A,1994,10,,1/1/1994
AUS,ALCOHOL,TOT,LT_CAP15,A,1995,9.8,,1/1/1995
AUS,ALCOHOL,TOT,LT_CAP15,A,1996,10,,1/1/1996
AUS,ALCOHOL,TOT,LT_CAP15,A,1997,10.2,,1/1/1997
