Quarter,Year,Month,Date,Avg house price,Avg money borrowed,Avg buyer income,,,,,,,,,,,,,,,,,,,,
Q2,1992,4,4/1/1992,"47,000 ","39,000 ","18,000 ",,,,,,,,,,,,,,,,,,,,
Q3,1992,7,7/1/1992,"49,000 ","40,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q4,1992,10,10/1/1992,"45,000 ","37,000 ","18,000 ",,,,,,,,,,,,,,,,,,,,
Q1,1993,1,1/1/1993,"46,000 ","38,000 ","18,000 ",,,,,,,,,,,,,,,,,,,,
Q2,1993,4,4/1/1993,"49,000 ","40,000 ","18,000 ",,,,,,,,,,,,,,,,,,,,
Q3,1993,7,7/1/1993,"48,000 ","40,000 ","18,000 ",,,,,,,,,,,,,,,,,,,,
Q4,1993,10,10/1/1993,"47,000 ","39,000 ","18,000 ",,,,,,,,,,,,,,,,,,,,
Q1,1994,1,1/1/1994,"46,000 ","38,000 ","18,000 ",,,,,,,,,,,,,,,,,,,,
Q2,1994,4,4/1/1994,"49,000 ","41,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q3,1994,7,7/1/1994,"49,000 ","40,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q4,1994,10,10/1/1994,"49,000 ","41,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q1,1995,1,1/1/1995,"47,000 ","41,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q2,1995,4,4/1/1995,"47,000 ","42,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q3,1995,7,7/1/1995,"46,000 ","41,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q4,1995,10,10/1/1995,"46,000 ","42,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q1,1996,1,1/1/1996,"46,000 ","41,000 ","19,000 ",,,,,,,,,,,,,,,,,,,,
Q2,1996,4,4/1/1996,"49,000 ","44,000 ","20,000 ",,,,,,,,,,,,,,,,,,,,
Q3,1996,7,7/1/1996,"50,000 ","45,000 ","20,000 ",,,,,,,,,,,,,,,,,,,,
