Month,scary dreams: (United States)
2009-01,30
2009-02,23
2009-03,27
2009-04,8
2009-05,18
2009-06,10
2009-07,35
2009-08,28
2009-09,37
2009-10,33
2009-11,43
2009-12,46
2010-01,25
2010-02,20
2010-03,36
2010-04,22
2010-05,32
2010-06,33
2010-07,32
2010-08,55
2010-09,63
2010-10,63
2010-11,37
2010-12,43
2011-01,51
2011-02,44
2011-03,36
2011-04,41
2011-05,52
2011-06,38
2011-07,43
2011-08,49
2011-09,40
2011-10,66
2011-11,62
2011-12,44
2012-01,63
2012-02,52
2012-03,68
2012-04,62
2012-05,47
2012-06,48
2012-07,74
2012-08,59
2012-09,60
2012-10,75
2012-11,60
2012-12,51
2013-01,71
2013-02,55
2013-03,66
2013-04,69
2013-05,54
2013-06,81
2013-07,70
2013-08,52
2013-09,47
2013-10,63
2013-11,50
2013-12,55
2014-01,63
2014-02,61
2014-03,50
2014-04,63
2014-05,48
2014-06,67
2014-07,63
2014-08,76
2014-09,62
2014-10,73
2014-11,52
2014-12,53
2015-01,66
2015-02,55
2015-03,52
2015-04,54
2015-05,68
2015-06,57
2015-07,64
2015-08,58
2015-09,43
2015-10,88
2015-11,71
2015-12,59
2016-01,64
2016-02,64
2016-03,57
2016-04,58
2016-05,55
2016-06,58
2016-07,66
2016-08,59
2016-09,64
2016-10,76
2016-11,56
2016-12,67
2017-01,59
2017-02,75
2017-03,52
2017-04,57
2017-05,54
2017-06,68
2017-07,55
2017-08,65
2017-09,54
2017-10,61
2017-11,55
2017-12,50
2018-01,66
2018-02,73
2018-03,79
2018-04,58
2018-05,62
2018-06,70
2018-07,73
2018-08,64
2018-09,60
2018-10,80
2018-11,61
2018-12,71
2019-01,71
2019-02,85
2019-03,58
2019-04,56
2019-05,59
2019-06,71
2019-07,73
2019-08,76
2019-09,80
2019-10,78
2019-11,71
2019-12,66
2020-01,78
2020-02,91
2020-03,72
2020-04,90
2020-05,76
2020-06,76
2020-07,72
2020-08,67
2020-09,75
2020-10,100
2020-11,75
2020-12,69
2021-01,84
2021-02,66
2021-03,74
2021-04,79
2021-05,68
2021-06,72
2021-07,82
2021-08,80
2021-09,62
2021-10,75
2021-11,77
2021-12,65
2022-01,67
2022-02,75
2022-03,75
2022-04,80
2022-05,74
2022-06,74
2022-07,68
2022-08,73
2022-09,66
2022-10,90
2022-11,58
2022-12,66
2023-01,73
2023-02,67
2023-03,65
2023-04,72
2023-05,68
2023-06,65
2023-07,61
2023-08,62
2023-09,68
