date,no_of_searches
1/1/2009,30
2/1/2009,23
3/1/2009,27
4/1/2009,8
5/1/2009,18
6/1/2009,10
7/1/2009,35
8/1/2009,28
9/1/2009,37
10/1/2009,33
11/1/2009,43
12/1/2009,46
1/1/2010,25
2/1/2010,20
3/1/2010,36
4/1/2010,22
5/1/2010,32
6/1/2010,33
7/1/2010,32
8/1/2010,55
9/1/2010,63
10/1/2010,63
11/1/2010,37
12/1/2010,43
1/1/2011,51
2/1/2011,44
3/1/2011,36
4/1/2011,41
5/1/2011,52
6/1/2011,38
7/1/2011,43
8/1/2011,49
9/1/2011,40
10/1/2011,66
11/1/2011,62
12/1/2011,44
1/1/2012,63
2/1/2012,52
3/1/2012,68
4/1/2012,62
5/1/2012,47
6/1/2012,48
7/1/2012,74
8/1/2012,59
9/1/2012,60
10/1/2012,75
11/1/2012,60
12/1/2012,51
1/1/2013,71
2/1/2013,55
3/1/2013,66
4/1/2013,69
5/1/2013,54
6/1/2013,81
7/1/2013,70
8/1/2013,52
9/1/2013,47
10/1/2013,63
11/1/2013,50
12/1/2013,55
1/1/2014,63
2/1/2014,61
3/1/2014,50
4/1/2014,63
5/1/2014,48
6/1/2014,67
7/1/2014,63
8/1/2014,76
9/1/2014,62
10/1/2014,73
11/1/2014,52
12/1/2014,53
1/1/2015,66
2/1/2015,55
3/1/2015,52
4/1/2015,54
5/1/2015,68
6/1/2015,57
7/1/2015,64
8/1/2015,58
9/1/2015,43
10/1/2015,88
11/1/2015,71
12/1/2015,59
1/1/2016,64
2/1/2016,64
3/1/2016,57
4/1/2016,58
5/1/2016,55
6/1/2016,58
7/1/2016,66
8/1/2016,59
9/1/2016,64
10/1/2016,76
11/1/2016,56
12/1/2016,67
1/1/2017,59
2/1/2017,75
3/1/2017,52
4/1/2017,57
5/1/2017,54
6/1/2017,68
7/1/2017,55
8/1/2017,65
9/1/2017,54
10/1/2017,61
11/1/2017,55
12/1/2017,50
1/1/2018,66
2/1/2018,73
3/1/2018,79
4/1/2018,58
5/1/2018,62
6/1/2018,70
7/1/2018,73
8/1/2018,64
9/1/2018,60
10/1/2018,80
11/1/2018,61
12/1/2018,71
1/1/2019,71
2/1/2019,85
3/1/2019,58
4/1/2019,56
5/1/2019,59
6/1/2019,71
7/1/2019,73
8/1/2019,76
9/1/2019,80
10/1/2019,78
11/1/2019,71
12/1/2019,66
1/1/2020,78
2/1/2020,91
3/1/2020,72
4/1/2020,90
5/1/2020,76
6/1/2020,76
7/1/2020,72
8/1/2020,67
9/1/2020,75
10/1/2020,100
11/1/2020,75
12/1/2020,69
1/1/2021,84
2/1/2021,66
3/1/2021,74
4/1/2021,79
5/1/2021,68
6/1/2021,72
7/1/2021,82
8/1/2021,80
9/1/2021,62
10/1/2021,75
11/1/2021,77
12/1/2021,65
1/1/2022,67
2/1/2022,75
3/1/2022,75
4/1/2022,80
5/1/2022,74
6/1/2022,74
7/1/2022,68
8/1/2022,73
9/1/2022,66
10/1/2022,90
11/1/2022,58
12/1/2022,66
1/1/2023,73
2/1/2023,67
3/1/2023,65
4/1/2023,72
5/1/2023,68
6/1/2023,65
7/1/2023,61
8/1/2023,62
9/1/2023,68
